희망하는 진로가 무엇인가요?,희망하는 학과가 무엇인가요? (ex. 기계공학과),희망하는 진로를 선택한 이유
예체능,웹툰만화과,적성이 맞는 거 같아서
인문계열 / 사회계열,경찰행정학과,적성이 맞는 거 같아서
인문계열 / 사회계열,무역학과,멋잇는 거 같아서
인문계열 / 사회계열,역사학과,적성이 맞는 거 같아서
예체능,작곡과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,환경공학과,그냥
공학/ 자연/ 메디컬,춤으로 배우는 법학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,기계공학과,돈을 많이 벌고 싶어서
인문계열 / 사회계열,사회학과,돈을 많이 벌고 싶어서
인문계열 / 사회계열,사회복지학과,그냥
교육계열,공대,돈을 많이 벌고 싶어서
예체능,축구선수,돈을 많이 벌고 싶어서
인문계열 / 사회계열,역사학자,멋잇는 거 같아서
공학/ 자연/ 메디컬,간호학과,적성이 맞는 거 같아서
예체능,체조선수,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,의예과,돈을 많이 벌고 싶어서
공학/ 자연/ 메디컬,간호학과,그냥
교육계열,수학과,부모님의 추천으로
교육계열,영문학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,기계공학과,멋잇는 거 같아서
인문계열 / 사회계열,지리학과,적성이 맞는 거 같아서
예체능,연가과,적성이 맞는 거 같아서
인문계열 / 사회계열,국어학과,부모님의 추천으로
공학/ 자연/ 메디컬,컴퓨터공학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,인공지능학과,멋잇는 거 같아서
예체능,미대,돈을 많이 벌고 싶어서
공학/ 자연/ 메디컬,생명공학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,약학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,로봇공학과,돈을 많이 벌고 싶어서
공학/ 자연/ 메디컬,물리치료학과,멋잇는 거 같아서
예체능,축구마켓팅과,그냥
인문계열 / 사회계열,미디어커뮤니케이션학과,적성이 맞는 거 같아서
공학/ 자연/ 메디컬,생명공학과,멋잇는 거 같아서
